cell.instance,immune.label
cell1,B-cells
cell2,T-cells
cell7,T-cells
cell8,T-cells
cell11,T-cells
cell12,T-cells
cell13,T-cells
cell17,T-cells
cell18,T-cells
cell25,T-cells
cell26,T-cells
cell30,T-cells
cell34,B-cells
cell38,T-cells
cell46,T-cells
cell48,T-cells
cell50,T-cells
cell53,T-cells
cell57,T-cells
cell62,T-cells
cell64,T-cells
cell66,T-cells
cell69,T-cells
cell71,T-cells
cell72,T-cells
cell73,T-cells
cell75,T-cells
cell78,T-cells
cell80,B-cells
cell81,T-cells
cell84,T-cells
cell85,T-cells
cell86,T-cells
cell89,T-cells
cell95,T-cells
cell99,T-cells
cell100,B-cells
cell101,T-cells
cell106,T-cells
cell108,T-cells
cell113,T-cells
cell114,T-cells
cell116,T-cells
cell117,Macrophages
cell119,T-cells
cell120,T-cells
cell125,B-cells
cell129,T-cells
cell130,T-cells
cell133,B-cells
cell139,T-cells
cell140,T-cells
cell141,T-cells
cell142,T-cells
cell144,T-cells
cell148,T-cells
cell150,T-cells
cell153,T-cells
cell155,B-cells
cell156,T-cells
cell159,T-cells
cell160,T-cells
cell164,T-cells
cell165,T-cells
cell168,T-cells
cell170,T-cells
cell172,T-cells
cell175,T-cells
cell178,T-cells
cell179,B-cells
cell180,T-cells
cell185,T-cells
cell188,T-cells
cell189,T-cells
cell191,T-cells
cell195,T-cells
cell202,B-cells
cell203,T-cells
cell204,T-cells
cell205,T-cells
cell208,T-cells
cell213,NK
cell214,T-cells
cell216,B-cells
cell218,T-cells
cell219,B-cells
cell222,T-cells
cell223,T-cells
cell224,B-cells
cell226,B-cells
cell227,T-cells
cell228,T-cells
cell233,T-cells
cell234,T-cells
cell235,T-cells
cell241,B-cells
cell242,T-cells
cell244,T-cells
cell245,T-cells
cell246,T-cells
cell251,T-cells
cell252,T-cells
cell253,T-cells
cell258,T-cells
cell261,B-cells
cell262,T-cells
cell264,T-cells
cell267,T-cells
cell269,T-cells
cell274,T-cells
cell275,T-cells
cell277,T-cells
cell278,NK
cell280,T-cells
cell281,T-cells
cell286,T-cells
cell288,Macrophages
cell290,T-cells
cell298,T-cells
cell299,T-cells
cell300,Macrophages
cell302,B-cells
cell304,T-cells
cell306,T-cells
cell307,B-cells
cell311,T-cells
cell312,T-cells
cell313,T-cells
cell316,T-cells
cell320,T-cells
cell321,T-cells
cell322,T-cells
cell323,T-cells
cell325,T-cells
cell326,T-cells
cell327,B-cells
cell331,T-cells
cell336,T-cells
cell341,T-cells
cell345,B-cells
cell347,T-cells
cell351,T-cells
cell359,T-cells
cell364,T-cells
cell367,T-cells
cell368,T-cells
cell378,T-cells
cell379,T-cells
cell387,T-cells
cell389,T-cells
cell394,T-cells
cell395,T-cells
cell396,T-cells
cell399,B-cells
cell400,T-cells
cell401,T-cells
cell403,T-cells
cell406,T-cells
cell407,T-cells
cell408,T-cells
cell409,T-cells
cell415,B-cells
cell418,B-cells
cell423,T-cells
cell435,T-cells
cell438,T-cells
cell440,T-cells
cell441,T-cells
cell442,T-cells
cell443,T-cells
cell446,NK
cell447,T-cells
cell449,T-cells
cell450,T-cells
cell452,B-cells
cell453,T-cells
cell461,T-cells
cell470,T-cells
cell472,T-cells
cell476,T-cells
cell478,T-cells
cell479,T-cells
cell485,T-cells
cell486,T-cells
cell488,T-cells
cell492,T-cells
cell1621,T-cells
cell1623,T-cells
cell1624,T-cells
cell1626,T-cells
cell1629,T-cells
cell1630,T-cells
cell1631,T-cells
cell1634,T-cells
cell1636,T-cells
cell1638,T-cells
cell1639,T-cells
cell1640,NK
cell1641,T-cells
cell1643,T-cells
cell1644,T-cells
cell1645,T-cells
cell1646,T-cells
cell1647,T-cells
cell1649,T-cells
cell1650,T-cells
cell1651,Endo.
cell1652,Macrophages
cell1653,T-cells
cell1655,T-cells
cell1656,T-cells
cell1657,T-cells
cell1659,T-cells
cell1660,T-cells
cell1661,T-cells
cell1663,B-cells
cell1664,T-cells
cell1666,T-cells
cell1667,T-cells
cell1668,T-cells
cell1669,T-cells
cell1671,Endo.
cell1672,T-cells
cell1675,T-cells
cell1677,T-cells
cell1678,T-cells
cell1679,T-cells
cell1682,T-cells
cell1685,B-cells
cell1686,T-cells
cell1687,T-cells
cell1691,B-cells
cell1693,T-cells
cell1694,T-cells
cell1695,T-cells
cell1697,NK
cell1699,T-cells
cell1700,T-cells
cell1701,NK
cell1702,T-cells
cell1705,T-cells
cell1706,T-cells
cell1707,Macrophages
cell1709,T-cells
cell1710,T-cells
cell1712,T-cells
cell1713,T-cells
cell1715,CAFs
cell1716,Endo.
cell1717,T-cells
cell1718,B-cells
cell1719,T-cells
cell1721,T-cells
cell1723,T-cells
cell1724,T-cells
cell1725,T-cells
cell1726,T-cells
cell1727,T-cells
cell1728,T-cells
cell1730,T-cells
cell1734,Macrophages
cell1738,T-cells
cell1739,T-cells
cell1740,T-cells
cell1741,T-cells
cell1742,T-cells
cell1743,T-cells
cell1745,B-cells
cell1746,T-cells
cell1747,T-cells
cell1748,T-cells
cell1749,T-cells
cell1750,T-cells
cell1751,Endo.
cell1755,T-cells
cell1756,T-cells
cell1757,T-cells
cell1758,NK
cell1760,T-cells
cell1762,T-cells
cell1763,B-cells
cell1764,Endo.
cell1765,T-cells
cell1767,T-cells
cell1768,B-cells
cell1770,T-cells
cell1771,T-cells
cell1772,T-cells
cell1773,T-cells
cell1774,T-cells
cell1776,Endo.
cell1781,T-cells
cell1783,T-cells
cell1784,T-cells
cell1785,T-cells
cell1787,T-cells
cell1788,T-cells
cell1789,T-cells
cell1790,T-cells
cell1792,T-cells
cell1793,T-cells
cell1794,Macrophages
cell1797,T-cells
cell1799,T-cells
cell1800,B-cells
cell1804,T-cells
cell1806,T-cells
cell1808,T-cells
cell1809,T-cells
cell1812,CAFs
cell1814,T-cells
cell1815,T-cells
cell1816,T-cells
cell1817,T-cells
cell1818,NK
cell1819,NK
cell1820,T-cells
cell1822,Endo.
cell1827,T-cells
cell1828,T-cells
cell1830,T-cells
cell1832,Macrophages
cell1833,T-cells
cell1834,T-cells
cell1835,T-cells
cell1836,T-cells
cell1838,T-cells
cell1840,NK
cell1841,T-cells
cell1842,T-cells
cell1843,T-cells
cell1846,T-cells
cell1848,T-cells
cell1849,T-cells
cell1850,T-cells
cell1851,NK
cell1855,B-cells
cell1856,Macrophages
cell1858,Macrophages
cell1859,T-cells
cell1863,T-cells
cell1864,T-cells
cell1865,T-cells
cell1866,B-cells
cell1867,T-cells
cell1868,T-cells
cell1869,T-cells
cell1870,T-cells
cell1871,T-cells
cell1873,T-cells
cell1875,T-cells
cell1876,T-cells
cell1877,T-cells
cell1878,T-cells
cell1880,NK
cell1881,T-cells
cell1882,CAFs
cell1883,T-cells
cell1885,T-cells
cell1886,NK
cell1889,T-cells
cell1890,T-cells
cell1892,T-cells
cell1893,T-cells
cell1894,T-cells
cell1898,B-cells
cell1899,T-cells
cell1900,B-cells
cell1901,T-cells
cell1903,T-cells
cell1904,Macrophages
cell1905,B-cells
cell1906,T-cells
cell1907,T-cells
cell1908,T-cells
cell1909,T-cells
cell1911,Macrophages
cell1913,T-cells
cell1914,T-cells
cell1915,CAFs
cell1917,T-cells
cell1919,B-cells
cell1922,B-cells
cell1923,B-cells
cell1924,T-cells
cell1925,T-cells
cell1927,T-cells
cell1929,T-cells
cell1931,B-cells
cell1932,T-cells
cell1933,T-cells
cell1934,B-cells
cell1935,T-cells
cell1936,T-cells
cell1937,T-cells
cell1938,T-cells
cell1940,T-cells
cell1941,T-cells
cell1943,T-cells
cell1944,T-cells
cell1946,B-cells
